dive,height,description,degree_of_difficulty,ignore1,ignore2,ignore3,ignore4,ignore5,ignore6
5202D,5M,Back Jump 1 Twist Free,1.00,0.00,0.00,0,0.00,0.00,0,
5203A,1M,Back Jump 1 1/2 Twist Straight,1.00,11.75,14.50,2,11.75,14.50,2,
5203A,3M,Back Jump 1 1/2 Twist Straight,1.00,13.00,13.00,1,13.83,15.00,3,
5203A,5M,Back Jump 1 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5203A,7M,Back Jump 1 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5203A,10M,Back Jump 1 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5205A,1M,Back Jump 2 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5205A,3M,Back Jump 2 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5205A,5M,Back Jump 2 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5205A,7M,Back Jump 2 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5205A,10M,Back Jump 2 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5211A,1M,Back Dive 1/2 Twist Straight,1.80,21.71,47.70,474,22.64,49.20,3605,
5211A,3M,Back Dive 1/2 Twist Straight,2.00,26.71,48.00,262,25.58,52.00,2112,
5211A,5M,Back Dive 1/2 Twist Straight,1.80,26.06,42.30,28,25.09,47.31,220,
5211A,7M,Back Dive 1/2 Twist Straight,2.00,0.00,0.00,0,42.13,52.00,8,
5211A,10M,Back Dive 1/2 Twist Straight,2.00,0.00,0.00,0,0.00,0.00,0,
5211B,1M,Back Dive 1/2 Twist Pike,1.70,20.40,22.10,4,17.69,32.30,15,
5211B,3M,Back Dive 1/2 Twist Pike,1.90,0.00,0.00,0,16.35,32.30,15,
5211B,5M,Back Dive 1/2 Twist Pike,1.70,0.00,0.00,0,10.20,10.20,1,
5211B,7M,Back Dive 1/2 Twist Pike,1.90,0.00,0.00,0,0.00,0.00,0,
5211B,10M,Back Dive 1/2 Twist Pike,1.90,0.00,0.00,0,0.00,0.00,0,
5211C,1M,Back Dive 1/2 Twist Tuck,1.60,22.40,26.40,3,17.80,28.80,16,
5211C,3M,Back Dive 1/2 Twist Tuck,1.80,26.10,26.10,2,17.33,33.30,20,
5211C,5M,Back Dive 1/2 Twist Tuck,1.60,0.00,0.00,0,0.00,0.00,0,
5211C,7M,Back Dive 1/2 Twist Tuck,1.80,0.00,0.00,0,0.00,0.00,0,
5211C,10M,Back Dive 1/2 Twist Tuck,1.80,0.00,0.00,0,0.00,0.00,0,
5212A,1M,Back Dive 1 Twist Straight,2.00,20.67,30.00,3,24.38,48.00,24,
5212A,3M,Back Dive 1 Twist Straight,2.20,0.00,0.00,0,31.21,47.30,8,
5212A,5M,Back Dive 1 Twist Straight,2.00,0.00,0.00,0,0.00,0.00,0,
5212A,7M,Back Dive 1 Twist Straight,2.20,0.00,0.00,0,0.00,0.00,0,
5212A,10M,Back Dive 1 Twist Straight,2.20,0.00,0.00,0,0.00,0.00,0,
5213A,1M,Back Dive 1 1/2 Twist Straight,2.40,37.80,54.00,4,42.98,58.80,16,
5213A,3M,Back Dive 1 1/2 Twist Straight,2.60,35.10,35.10,1,42.12,57.20,5,
5221D,1M,Back 1 Somersault 1/2 Twist Free,1.70,23.58,40.80,1980,23.18,41.65,13616,
5221D,3M,Back 1 Somersault 1/2 Twist Free,1.80,21.38,38.70,134,20.55,38.70,949,
5221D,5M,Back 1 Somersault 1/2 Twist Free,1.70,26.56,31.45,4,18.90,31.45,17,
5221D,7M,Back 1 Somersault 1/2 Twist Free,1.80,0.00,0.00,0,11.70,23.40,2,
5221D,10M,Back 1 Somersault 1/2 Twist Free,1.90,0.00,0.00,0,0.00,0.00,0,
5222D,1M,Back 1 Somersault 1 Twist Free,1.90,22.39,37.05,147,22.76,45.60,720,
5222D,3M,Back 1 Somersault 1 Twist Free,2.00,18.33,28.00,3,18.91,35.00,21,
5222D,5M,Back 1 Somersault 1 Twist Free,1.90,0.00,0.00,0,31.35,31.35,1,
5222D,7M,Back 1 Somersault 1 Twist Free,2.00,0.00,0.00,0,0.00,0.00,0,
5222D,10M,Back 1 Somersault 1 Twist Free,2.10,0.00,0.00,0,0.00,0.00,0,
5223D,1M,Back 1 Somersault 1 1/2 Twist Free,2.30,35.62,57.50,2808,34.92,61.41,21164,
5223D,3M,Back 1 Somersault 1 1/2 Twist Free,2.40,8.00,43.20,9,27.28,63.60,101,
5223D,5M,Back 1 Somersault 1 1/2 Twist Free,2.30,0.00,0.00,0,31.74,50.60,18,
5223D,7M,Back 1 Somersault 1 1/2 Twist Free,2.40,0.00,0.00,0,0.00,0.00,0,
5223D,10M,Back 1 Somersault 1 1/2 Twist Free,2.50,0.00,0.00,0,0.00,0.00,0,
5224D,1M,Back 1 Somersault 2 Twist Free,2.30,28.18,32.20,2,29.82,50.60,15,
5225D,1M,Back 1 Somersault 2 1/2 Twist Free,2.70,42.45,63.45,907,40.20,68.85,6549,
5225D,3M,Back 1 Somersault 2 1/2 Twist Free,2.80,16.10,32.20,2,30.64,61.60,18,
5225D,5M,Back 1 Somersault 2 1/2 Twist Free,2.70,49.28,52.65,2,40.12,59.40,23,
5225D,7M,Back 1 Somersault 2 1/2 Twist Free,2.80,0.00,0.00,0,0.00,0.00,0,
5225D,10M,Back 1 Somersault 2 1/2 Twist Free,2.90,0.00,0.00,0,0.00,0.00,0,
5227D,1M,Back 1 Somersault 3 1/2 Twist Free,3.20,38.40,64.00,10,44.25,65.60,48,
5227D,3M,Back 1 Somersault 3 1/2 Twist Free,3.30,0.00,0.00,0,0.00,0.00,0,
5231D,1M,Back 1 1/2 Somersault 1/2 Twist Free,2.10,34.19,52.50,3823,33.70,60.90,25618,
5231D,3M,Back 1 1/2 Somersault 1/2 Twist Free,2.00,33.12,57.00,4167,32.43,62.00,29821,
5231D,5M,Back 1 1/2 Somersault 1/2 Twist Free,2.10,34.69,51.45,696,34.50,55.65,4568,
5231D,7M,Back 1 1/2 Somersault 1/2 Twist Free,2.00,36.33,52.00,259,36.88,55.00,1628,
5231D,10M,Back 1 1/2 Somersault 1/2 Twist Free,2.00,41.35,60.00,147,40.14,60.00,894,
5232D,3M,Back 1 1/2 Somersault 1 Twist Free,2.00,13.00,13.00,1,30.07,37.00,7,
5233D,1M,Back 1 1/2 Somersault 1 1/2 Twist Free,2.50,42.87,67.50,3477,42.18,71.25,23850,
5233D,3M,Back 1 1/2 Somersault 1 1/2 Twist Free,2.40,41.73,64.08,4651,40.90,67.20,31516,
5233D,5M,Back 1 1/2 Somersault 1 1/2 Twist Free,2.50,43.66,61.25,705,43.14,72.50,4519,
5233D,7M,Back 1 1/2 Somersault 1 1/2 Twist Free,2.40,41.82,61.20,242,42.00,66.00,2031,
5233D,10M,Back 1 1/2 Somersault 1 1/2 Twist Free,2.40,37.60,42.00,3,42.58,60.00,83,
5235D,1M,Back 1 1/2 Somersault 2 1/2 Twist Free,2.90,48.67,69.60,223,49.62,85.55,1880,
5235D,3M,Back 1 1/2 Somersault 2 1/2 Twist Free,2.80,48.55,78.40,2459,47.69,84.00,16682,
5235D,5M,Back 1 1/2 Somersault 2 1/2 Twist Free,2.90,52.32,73.95,40,54.56,79.75,281,
5235D,7M,Back 1 1/2 Somersault 2 1/2 Twist Free,2.80,51.25,71.40,115,50.61,82.60,1031,
5235D,10M,Back 1 1/2 Somersault 2 1/2 Twist Free,2.80,53.01,74.20,164,52.39,77.00,1467,
5237D,1M,Back 1 1/2 Somersault 3 1/2 Twist Free,3.40,0.00,0.00,0,49.30,49.30,1,
5237D,3M,Back 1 1/2 Somersault 3 1/2 Twist Free,3.30,53.63,72.60,12,49.16,82.50,102,
5237D,5M,Back 1 1/2 Somersault 3 1/2 Twist Free,3.40,0.00,0.00,0,0.00,0.00,0,
5237D,7M,Back 1 1/2 Somersault 3 1/2 Twist Free,3.30,0.00,0.00,0,67.65,79.20,2,
5237D,10M,Back 1 1/2 Somersault 3 1/2 Twist Free,3.30,69.31,97.35,61,61.84,97.35,544,
5239D,3M,Back 1 1/2 Somersault 4 1/2 Twist Free,3.70,0.00,0.00,0,0.00,0.00,0,
5239D,5M,Back 1 1/2 Somersault 4 1/2 Twist Free,3.80,0.00,0.00,0,0.00,0.00,0,
5239D,7M,Back 1 1/2 Somersault 4 1/2 Twist Free,3.70,0.00,0.00,0,0.00,0.00,0,
5239D,10M,Back 1 1/2 Somersault 4 1/2 Twist Free,3.70,0.00,0.00,0,59.96,81.40,15,
5241C,1M,Back 2 Somersault 1/2 Twist Tuck,2.60,35.10,40.30,3,32.01,54.60,20,
5242B,3M,Back 2 Somersault 1 Twist Pike,2.70,0.00,0.00,0,0.00,0.00,0,
5244B,10M,Back 2 Somersault 2 Twist Pike,3.20,52.00,54.40,2,52.00,54.40,2,
5246B,10M,Back 2 Somersault 3 Twist Pike,3.80,68.40,77.90,2,68.40,77.90,2,
5251B,1M,Back 2 1/2 Somersault 1/2 Twist Pike,2.90,0.00,0.00,0,0.00,0.00,0,
5251B,3M,Back 2 1/2 Somersault 1/2 Twist Pike,2.70,41.83,52.65,29,41.99,58.05,162,
5251B,5M,Back 2 1/2 Somersault 1/2 Twist Pike,2.90,0.00,0.00,0,0.00,0.00,0,
5251B,7M,Back 2 1/2 Somersault 1/2 Twist Pike,2.70,47.25,48.60,4,49.06,67.50,30,
5251B,10M,Back 2 1/2 Somersault 1/2 Twist Pike,2.60,48.53,70.20,106,48.76,72.80,703,
5251C,1M,Back 2 1/2 Somersault 1/2 Twist Tuck,2.70,0.00,0.00,0,39.15,58.05,44,
5251C,3M,Back 2 1/2 Somersault 1/2 Twist Tuck,2.50,39.30,52.50,48,36.38,75.00,316,
5251C,5M,Back 2 1/2 Somersault 1/2 Twist Tuck,2.70,36.90,48.60,3,36.66,56.70,36,
5251C,7M,Back 2 1/2 Somersault 1/2 Twist Tuck,2.50,40.42,46.25,6,37.44,55.00,108,
5251C,10M,Back 2 1/2 Somersault 1/2 Twist Tuck,2.40,0.00,0.00,0,31.20,36.00,4,
5252B,1M,Back 2 1/2 Somersault 1 Twist Pike,3.30,0.00,0.00,0,0.00,0.00,0,
5252B,3M,Back 2 1/2 Somersault 1 Twist Pike,3.10,0.00,0.00,0,31.00,31.00,1,
5252B,5M,Back 2 1/2 Somersault 1 Twist Pike,3.30,0.00,0.00,0,0.00,0.00,0,
5252B,7M,Back 2 1/2 Somersault 1 Twist Pike,3.10,0.00,0.00,0,0.00,0.00,0,
5252B,10M,Back 2 1/2 Somersault 1 Twist Pike,3.00,0.00,0.00,0,0.00,0.00,0,
5253B,3M,Back 2 1/2 Somersault 1 1/2 Twist Pike,3.40,62.64,79.56,53,61.42,85.75,635,
5253B,7M,Back 2 1/2 Somersault 1 1/2 Twist Pike,3.30,0.00,0.00,0,61.27,68.25,5,
5253B,10M,Back 2 1/2 Somersault 1 1/2 Twist Pike,3.20,62.91,92.80,945,64.77,102.00,7911,
5253C,3M,Back 2 1/2 Somersault 1 1/2 Twist Tuck,3.20,64.40,70.40,4,45.47,70.40,34,
5253C,7M,Back 2 1/2 Somersault 1 1/2 Twist Tuck,3.10,0.00,0.00,0,64.35,69.30,2,
5253C,10M,Back 2 1/2 Somersault 1 1/2 Twist Tuck,3.00,0.00,0.00,0,57.14,79.50,65,
5255B,3M,Back 2 1/2 Somersault 2 1/2 Twist Pike,3.80,0.00,0.00,0,0.00,0.00,0,
5255B,10M,Back 2 1/2 Somersault 2 1/2 Twist Pike,3.60,71.37,102.60,111,78.35,108.30,1152,
5255C,3M,Back 2 1/2 Somersault 2 1/2 Twist Tuck,3.60,0.00,0.00,0,0.00,0.00,0,
5255C,10M,Back 2 1/2 Somersault 2 1/2 Twist Tuck,3.40,0.00,0.00,0,63.00,66.60,2,
5257B,10M,Back 2 1/2 Somersault 3 1/2 Twist Pike,4.10,0.00,0.00,0,0.00,0.00,0,
5257C,10M,Back 2 1/2 Somersault 3 1/2 Twist Tuck,3.90,0.00,0.00,0,0.00,0.00,0,
5271B,10M,Back 3 1/2 Somersault 1/2 Twist Pike,3.20,0.00,0.00,0,0.00,0.00,0,
5271C,10M,Back 3 1/2 Somersault 1/2 Twist Tuck,2.90,44.23,44.95,2,48.82,65.25,18,
5273B,10M,Back 3 1/2 Somersault 1 1/2 Twist Pike,3.80,0.00,0.00,0,0.00,0.00,0,
5273C,10M,Back 3 1/2 Somersault 1 1/2 Twist Tuck,3.50,0.00,0.00,0,0.00,0.00,0,
5275B,10M,Back 3 1/2 Somersault 2 1/2 Twist Pike,4.20,0.00,0.00,0,0.00,0.00,0,
5275C,10M,Back 3 1/2 Somersault 2 1/2 Twist Tuck,3.90,0.00,0.00,0,0.00,0.00,0,
5301A,1M,Reverse Jump 1/2 Twist Straight,1.00,14.71,20.00,85,14.63,23.00,398,
5301A,3M,Reverse Jump 1/2 Twist Straight,1.00,12.38,18.50,80,13.51,22.00,410,
5301A,5M,Reverse Jump 1/2 Twist Straight,1.00,0.00,0.00,0,14.19,18.00,8,
5301A,7M,Reverse Jump 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5301A,10M,Reverse Jump 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5303A,1M,Reverse Jump 1 1/2 Twist Straight,1.00,15.50,15.50,1,15.00,15.50,2,
5303A,3M,Reverse Jump 1 1/2 Twist Straight,1.00,0.00,0.00,0,18.67,20.50,3,
5303A,5M,Reverse Jump 1 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5303A,7M,Reverse Jump 1 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5303A,10M,Reverse Jump 1 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5303B,1M,Reverse Jump 1 1/2 Twist Pike,1.00,0.00,0.00,0,0.00,0.00,0,
5303B,3M,Reverse Jump 1 1/2 Twist Pike,1.00,0.00,0.00,0,0.00,0.00,0,
5303B,5M,Reverse Jump 1 1/2 Twist Pike,1.00,0.00,0.00,0,0.00,0.00,0,
5303B,7M,Reverse Jump 1 1/2 Twist Pike,1.00,0.00,0.00,0,0.00,0.00,0,
5303B,10M,Reverse Jump 1 1/2 Twist Pike,1.00,0.00,0.00,0,0.00,0.00,0,
5303C,1M,Reverse Jump 1 1/2 Twist Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
5303C,3M,Reverse Jump 1 1/2 Twist Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
5303C,5M,Reverse Jump 1 1/2 Twist Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
5303C,7M,Reverse Jump 1 1/2 Twist Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
5303C,10M,Reverse Jump 1 1/2 Twist Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
5305A,1M,Reverse Jump 2 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5305A,3M,Reverse Jump 2 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5305A,5M,Reverse Jump 2 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5305A,7M,Reverse Jump 2 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5305A,10M,Reverse Jump 2 1/2 Twist Straight,1.00,0.00,0.00,0,0.00,0.00,0,
5305B,1M,Reverse Jump 2 1/2 Twist Pike,1.00,0.00,0.00,0,0.00,0.00,0,
5305B,3M,Reverse Jump 2 1/2 Twist Pike,1.00,0.00,0.00,0,0.00,0.00,0,
5305B,5M,Reverse Jump 2 1/2 Twist Pike,1.00,0.00,0.00,0,0.00,0.00,0,
5305B,7M,Reverse Jump 2 1/2 Twist Pike,1.00,0.00,0.00,0,0.00,0.00,0,
5305B,10M,Reverse Jump 2 1/2 Twist Pike,1.00,0.00,0.00,0,0.00,0.00,0,
5305C,1M,Reverse Jump 2 1/2 Twist Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
5305C,3M,Reverse Jump 2 1/2 Twist Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
5305C,5M,Reverse Jump 2 1/2 Twist Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
5305C,7M,Reverse Jump 2 1/2 Twist Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
5305C,10M,Reverse Jump 2 1/2 Twist Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
5311A,1M,Reverse Dive 1/2 Twist Straight,1.90,30.33,44.65,14,30.93,47.50,119,
5311A,3M,Reverse Dive 1/2 Twist Straight,2.10,36.28,50.40,9,35.51,51.45,105,
5311A,5M,Reverse Dive 1/2 Twist Straight,1.90,39.90,39.90,1,35.53,47.31,18,
5311A,7M,Reverse Dive 1/2 Twist Straight,2.10,0.00,0.00,0,41.42,50.40,9,
5311A,10M,Reverse Dive 1/2 Twist Straight,2.10,0.00,0.00,0,0.00,0.00,0,
5311B,1M,Reverse Dive 1/2 Twist Pike,1.80,0.00,0.00,0,0.00,0.00,1,
5311B,3M,Reverse Dive 1/2 Twist Pike,2.00,0.00,0.00,0,0.00,0.00,0,
5311B,5M,Reverse Dive 1/2 Twist Pike,1.80,0.00,0.00,0,0.00,0.00,0,
5311B,7M,Reverse Dive 1/2 Twist Pike,2.00,0.00,0.00,0,0.00,0.00,0,
5311B,10M,Reverse Dive 1/2 Twist Pike,2.00,0.00,0.00,0,0.00,0.00,0,
5311C,1M,Reverse Dive 1/2 Twist Tuck,1.70,17.85,17.85,1,17.85,17.85,1,
5311C,3M,Reverse Dive 1/2 Twist Tuck,1.90,9.50,9.50,1,18.53,27.55,2,
5311C,5M,Reverse Dive 1/2 Twist Tuck,1.70,0.00,0.00,0,0.00,0.00,0,
5311C,7M,Reverse Dive 1/2 Twist Tuck,1.90,0.00,0.00,0,0.00,0.00,0,
5311C,10M,Reverse Dive 1/2 Twist Tuck,1.90,0.00,0.00,0,0.00,0.00,0,
5312A,1M,Reverse Dive 1 Twist Straight,2.10,0.00,0.00,0,34.18,47.25,9,
5312A,3M,Reverse Dive 1 Twist Straight,2.30,0.00,0.00,0,36.08,41.40,8,
5312A,5M,Reverse Dive 1 Twist Straight,2.10,0.00,0.00,0,0.00,0.00,0,
5312A,7M,Reverse Dive 1 Twist Straight,2.30,0.00,0.00,0,0.00,0.00,0,
5312A,10M,Reverse Dive 1 Twist Straight,2.30,0.00,0.00,0,0.00,0.00,0,
5313A,1M,Reverse Dive 1 1/2 Twist Straight,2.50,25.00,25.00,1,35.42,55.00,6,
5321D,1M,Reverse 1 Somersault 1/2 Twist Free,1.80,18.48,32.40,82,20.40,38.70,505,
5321D,3M,Reverse 1 Somersault 1/2 Twist Free,1.90,20.11,38.00,115,20.09,52.44,833,
5321D,5M,Reverse 1 Somersault 1/2 Twist Free,1.80,22.68,27.90,5,23.40,33.30,10,
5321D,7M,Reverse 1 Somersault 1/2 Twist Free,1.90,0.00,0.00,0,0.00,0.00,1,
5321D,10M,Reverse 1 Somersault 1/2 Twist Free,2.00,0.00,0.00,0,0.00,0.00,0,
5322D,1M,Reverse 1 Somersault 1 Twist Free,2.00,29.67,36.00,3,22.32,37.00,25,
5322D,3M,Reverse 1 Somersault 1 Twist Free,2.10,10.50,10.50,1,19.95,29.40,2,
5322D,5M,Reverse 1 Somersault 1 Twist Free,2.00,0.00,0.00,0,0.00,0.00,1,
5322D,7M,Reverse 1 Somersault 1 Twist Free,2.10,0.00,0.00,0,0.00,0.00,0,
5322D,10M,Reverse 1 Somersault 1 Twist Free,2.20,0.00,0.00,0,0.00,0.00,0,
5323D,1M,Reverse 1 Somersault 1 1/2 Twist Free,2.40,36.75,54.00,35,36.79,58.32,224,
5323D,3M,Reverse 1 Somersault 1 1/2 Twist Free,2.50,0.00,0.00,0,40.00,40.00,1,
5323D,5M,Reverse 1 Somersault 1 1/2 Twist Free,2.40,0.00,0.00,0,0.00,0.00,0,
5323D,7M,Reverse 1 Somersault 1 1/2 Twist Free,2.50,0.00,0.00,0,0.00,0.00,0,
5323D,10M,Reverse 1 Somersault 1 1/2 Twist Free,2.60,0.00,0.00,0,0.00,0.00,0,
5324D,1M,Reverse 1 Somersault 2 Twist Free,2.40,0.00,0.00,0,0.00,0.00,0,
5325D,1M,Reverse 1 Somersault 2 1/2 Twist Free,2.80,44.83,65.80,24,40.88,65.80,155,
5325D,3M,Reverse 1 Somersault 2 1/2 Twist Free,2.90,0.00,0.00,0,52.20,52.20,1,
5325D,5M,Reverse 1 Somersault 2 1/2 Twist Free,2.80,0.00,0.00,0,0.00,0.00,0,
5325D,7M,Reverse 1 Somersault 2 1/2 Twist Free,2.90,0.00,0.00,0,0.00,0.00,0,
5325D,10M,Reverse 1 Somersault 2 1/2 Twist Free,3.00,0.00,0.00,0,0.00,0.00,0,
5327D,1M,Reverse 1 Somersault 3 1/2 Twist Free,3.40,43.07,47.60,3,40.96,47.60,4,
5327D,3M,Reverse 1 Somersault 3 1/2 Twist Free,3.50,0.00,0.00,0,0.00,0.00,0,
5331D,1M,Reverse 1 1/2 Somersault 1/2 Twist Free,2.20,37.77,57.20,281,37.29,66.00,1773,
5331D,3M,Reverse 1 1/2 Somersault 1/2 Twist Free,2.10,34.83,52.50,170,35.96,63.00,1406,
5331D,5M,Reverse 1 1/2 Somersault 1/2 Twist Free,2.20,0.00,0.00,0,27.50,27.50,1,
5331D,7M,Reverse 1 1/2 Somersault 1/2 Twist Free,2.10,0.00,0.00,0,43.05,51.45,7,
5331D,10M,Reverse 1 1/2 Somersault 1/2 Twist Free,2.10,44.10,47.25,2,43.26,57.75,48,
5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,2.60,47.09,70.20,1058,46.38,75.40,7793,
5333D,3M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,2.50,43.30,62.50,495,42.25,72.50,3085,
5333D,5M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,2.60,0.00,0.00,0,0.00,0.00,2,
5333D,7M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,2.50,0.00,0.00,0,0.00,0.00,0,
5333D,10M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,2.50,0.00,0.00,0,51.25,58.75,4,
5335D,1M,Reverse 1 1/2 Somersault 2 1/2 Twist Free,3.00,56.37,81.00,524,55.82,90.00,4445,
5335D,3M,Reverse 1 1/2 Somersault 2 1/2 Twist Free,2.90,50.84,76.85,792,50.99,87.00,6624,
5335D,5M,Reverse 1 1/2 Somersault 2 1/2 Twist Free,3.00,0.00,0.00,0,0.00,0.00,0,
5335D,7M,Reverse 1 1/2 Somersault 2 1/2 Twist Free,2.90,0.00,0.00,0,0.00,0.00,0,
5335D,10M,Reverse 1 1/2 Somersault 2 1/2 Twist Free,2.90,0.00,0.00,0,42.29,53.65,6,
5337D,1M,Reverse 1 1/2 Somersault 3 1/2 Twist Free,3.60,75.27,95.40,11,70.86,95.40,56,
5337D,3M,Reverse 1 1/2 Somersault 3 1/2 Twist Free,3.50,68.51,105.00,395,64.46,105.00,1561,
5337D,5M,Reverse 1 1/2 Somersault 3 1/2 Twist Free,3.50,0.00,0.00,0,0.00,0.00,0,
5337D,7M,Reverse 1 1/2 Somersault 3 1/2 Twist Free,3.40,0.00,0.00,0,0.00,0.00,0,
5337D,10M,Reverse 1 1/2 Somersault 3 1/2 Twist Free,3.40,0.00,0.00,0,65.28,81.60,5,
5339D,3M,Reverse 1 1/2 Somersault 4 1/2 Twist Free,3.80,74.10,74.10,1,74.10,74.10,1,
5339D,7M,Reverse 1 1/2 Somersault 4 1/2 Twist Free,3.80,0.00,0.00,0,0.00,0.00,0,
5339D,10M,Reverse 1 1/2 Somersault 4 1/2 Twist Free,3.80,0.00,0.00,0,0.00,0.00,0,
5342B,10M,Reverse 2 Somersault 1 Twist Pike,2.90,0.00,0.00,0,0.00,0.00,0,
5342C,1M,Reverse 2 Somersault 1 Twist Tuck,2.70,0.00,0.00,0,0.00,0.00,0,
5342C,10M,Reverse 2 Somersault 1 Twist Tuck,2.60,0.00,0.00,0,44.20,44.20,1,
5343C,3M,Reverse 2 Somersault 1 1/2 Twist Tuck,2.90,0.00,0.00,0,40.60,40.60,1,
5351B,1M,Reverse 2 1/2 Somersault 1/2 Twist Pike,2.90,0.00,0.00,0,36.98,42.05,2,
5351B,3M,Reverse 2 1/2 Somersault 1/2 Twist Pike,2.70,44.55,44.55,1,40.48,60.75,41,
5351B,5M,Reverse 2 1/2 Somersault 1/2 Twist Pike,3.00,0.00,0.00,0,0.00,0.00,0,
5351B,7M,Reverse 2 1/2 Somersault 1/2 Twist Pike,2.80,0.00,0.00,0,0.00,0.00,0,
5351B,10M,Reverse 2 1/2 Somersault 1/2 Twist Pike,2.70,0.00,0.00,0,0.00,0.00,0,
5351C,1M,Reverse 2 1/2 Somersault 1/2 Twist Tuck,2.70,43.88,59.40,4,42.37,60.75,39,
5351C,3M,Reverse 2 1/2 Somersault 1/2 Twist Tuck,2.50,0.00,0.00,0,37.00,48.75,54,
5351C,5M,Reverse 2 1/2 Somersault 1/2 Twist Tuck,2.80,0.00,0.00,0,0.00,0.00,0,
5351C,7M,Reverse 2 1/2 Somersault 1/2 Twist Tuck,2.60,0.00,0.00,0,33.75,33.75,1,
5351C,10M,Reverse 2 1/2 Somersault 1/2 Twist Tuck,2.50,0.00,0.00,0,0.00,0.00,0,
5353B,1M,Reverse 2 1/2 Somersault 1 1/2 Twist Pike,3.50,0.00,0.00,0,0.00,0.00,0,
5353B,3M,Reverse 2 1/2 Somersault 1 1/2 Twist Pike,3.30,63.43,84.15,80,66.51,99.75,2215,
5353B,7M,Reverse 2 1/2 Somersault 1 1/2 Twist Pike,3.40,0.00,0.00,0,0.00,0.00,0,
5353B,10M,Reverse 2 1/2 Somersault 1 1/2 Twist Pike,3.30,0.00,0.00,0,27.77,83.30,3,
5353C,1M,Reverse 2 1/2 Somersault 1 1/2 Twist Tuck,3.30,0.00,0.00,0,54.46,71.75,15,
5353C,3M,Reverse 2 1/2 Somersault 1 1/2 Twist Tuck,3.10,52.18,52.70,3,55.96,84.15,151,
5353C,5M,Reverse 2 1/2 Somersault 1 1/2 Twist Tuck,3.40,0.00,0.00,0,0.00,0.00,0,
5353C,7M,Reverse 2 1/2 Somersault 1 1/2 Twist Tuck,3.20,0.00,0.00,0,0.00,0.00,0,
5353C,10M,Reverse 2 1/2 Somersault 1 1/2 Twist Tuck,3.10,0.00,0.00,0,0.00,0.00,0,
5355B,1M,Reverse 2 1/2 Somersault 2 1/2 Twist Pike,3.90,0.00,0.00,0,0.00,0.00,0,
5355B,3M,Reverse 2 1/2 Somersault 2 1/2 Twist Pike,3.70,0.00,0.00,0,73.03,99.45,19,
5355B,7M,Reverse 2 1/2 Somersault 2 1/2 Twist Pike,3.80,0.00,0.00,0,0.00,0.00,0,
5355B,10M,Reverse 2 1/2 Somersault 2 1/2 Twist Pike,3.70,0.00,0.00,0,0.00,0.00,0,
5355C,1M,Reverse 2 1/2 Somersault 2 1/2 Twist Tuck,3.70,0.00,0.00,0,0.00,0.00,0,
5355C,3M,Reverse 2 1/2 Somersault 2 1/2 Twist Tuck,3.50,0.00,0.00,0,0.00,0.00,0,
5355C,5M,Reverse 2 1/2 Somersault 2 1/2 Twist Tuck,3.80,0.00,0.00,0,0.00,0.00,0,
5355C,7M,Reverse 2 1/2 Somersault 2 1/2 Twist Tuck,3.60,0.00,0.00,0,0.00,0.00,0,
5355C,10M,Reverse 2 1/2 Somersault 2 1/2 Twist Tuck,3.50,0.00,0.00,0,0.00,0.00,0,
